City_ID,city,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
517,touros,BR,-5.1989,-35.4608,297.65,81,24,7.37,few clouds
518,beeville,US,28.4008,-97.7483,309.25,46,1,1.54,clear sky
519,conde,BR,-7.2597,-34.9075,295.85,94,75,2.06,broken clouds
520,camacha,PT,33.0833,-16.3333,294,73,40,3.6,scattered clouds
521,stephenville,US,32.2207,-98.2023,304.34,45,40,4.12,scattered clouds
522,bend,US,44.0582,-121.3153,307.71,17,57,3.92,broken clouds
523,mahebourg,MU,-20.4081,57.7,292.88,69,1,1.24,clear sky
524,rawah,IQ,34.4816,41.9093,308.12,21,12,3.55,few clouds
525,ryotsu,JP,38.0833,138.4333,301.65,74,91,1.53,overcast clouds
526,saint-augustin,CA,51.226,-58.6502,290.06,79,96,7.41,overcast clouds
527,oktyabrskiy,RU,54.4815,53.471,294.19,46,66,1.81,broken clouds
528,belfast,GB,54.5833,-5.9333,287.48,94,90,1.54,overcast clouds
529,lakatoro,VU,-16.0999,167.4164,296.78,54,90,3.83,overcast clouds
